;; @T(#) @T(#)
;;
;; GENERATE_EDE_TEMPLATES version 2.35 (June 3, 1999)
;; PREPROCESS_1949_DATABASE version 2.3 (June 3, 1999)
;;
;;
;;
;; Point pair table: pptable1
;;
pptable1
	DBL 95.0000000000000	DBL 99.1100000000000
	DBL 105.000000000000	DBL 92.4100000000000
	DBL 115.000000000000	DBL 86.2750000000000
	DBL 135.000000000000	DBL 75.1000000000000
	DBL 155.000000000000	DBL 65.0100000000000
	DBL 175.000000000000	DBL 55.7200000000000
	DBL 255.000000000000	DBL 20.8299000000000
	END
;;
;;
;; Point pair table: pptable89
;;
pptable89
	DBL 0.00000000000000	DBL 267.333333333121
	DBL 65.0000000000000	DBL 270.967194444235
	DBL 120.000000000000	DBL 273.897333333126
	DBL 180.000000000000	DBL 276.974877777573
	DBL 340.000000000000	DBL 284.975872222024
	DBL 400.000000000000	DBL 288.046666666471
	DBL 460.000000000000	DBL 291.248777777584
	DBL 520.000000000000	DBL 294.622222222031
	DBL 580.000000000000	DBL 298.224666666479
	DBL 640.000000000000	DBL 302.117111110926
	DBL 700.000000000000	DBL 306.343888888707
	DBL 760.000000000000	DBL 310.965999999822
	DBL 820.000000000000	DBL 316.033333333160
	DBL 880.000000000000	DBL 321.601333333164
	DBL 940.000000000000	DBL 327.725444444280
	DBL 1023.00000000000	DBL 337.022488888732
	END
;;
;;
;; Point pair table: pptable90
;;
pptable90
	DBL 0.00000000000000	DBL 198.921999999733
	DBL 229.000000000000	DBL 249.966355555329
	DBL 260.000000000000	DBL 255.441416666444
	DBL 319.000000000000	DBL 263.779638888673
	DBL 394.000000000000	DBL 272.099344444236
	DBL 575.000000000000	DBL 288.830544444249
	DBL 759.000000000000	DBL 305.265744444262
	DBL 814.000000000000	DBL 310.972149999822
	DBL 1023.00000000000	DBL 335.077238888730
	END
;;
;;
;; Point pair table: pptable91
;;
pptable91
	DBL 0.00000000000000	DBL 460.283333333275
	DBL 14.0000000000000	DBL 403.500577777674
	DBL 21.0000000000000	DBL 387.008994444328
	DBL 29.0000000000000	DBL 374.357922222095
	DBL 39.0000000000000	DBL 362.968616666531
	DBL 50.0000000000000	DBL 353.455277777634
	DBL 63.0000000000000	DBL 344.508622222071
	DBL 76.0000000000000	DBL 337.062066666510
	DBL 91.0000000000000	DBL 329.627688888726
	DBL 111.000000000000	DBL 320.898516666497
