
                  Time                     X                     Y                     Z                    Vx                    Vy                    Vz
                     D                     D                     D                     D                     D                     D                     D
                     s                     m                     m                     m                   m/s                   m/s                   m/s
      7.9886400000E+07      7.5035308957E+10     -9.2885163826E+10      1.3869103401E+10      3.3736813138E+04      1.8009090333E+04      2.7314077890E+04
      7.9886700000E+07      7.5025187165E+10     -9.2890565805E+10      1.3860908430E+10      3.3741799734E+04      1.8006597035E+04      2.7319064486E+04
      7.9887000000E+07      7.5015063877E+10     -9.2895967784E+10      1.3852711963E+10      3.3744293032E+04      1.8004103738E+04      2.7319064486E+04
      7.9887300000E+07      7.5004940589E+10     -9.2901368267E+10      1.3844516991E+10      3.3744293032E+04      1.8001610440E+04      2.7316571188E+04
      7.9887600000E+07      7.4994817301E+10     -9.2906768750E+10      1.3836322020E+10      3.3744293032E+04      1.7999117142E+04      2.7316571188E+04
      7.9887900000E+07      7.4984694013E+10     -9.2912167737E+10      1.3828127049E+10      3.3746786330E+04      1.7996623844E+04      2.7316571188E+04
      7.9888200000E+07      7.4974569229E+10     -9.2917566724E+10      1.3819932077E+10      3.3749279628E+04      1.7996623844E+04      2.7319064486E+04
      7.9888500000E+07      7.4964444445E+10     -9.2922965712E+10      1.3811735610E+10      3.3751772926E+04      1.7994130546E+04      2.7319064486E+04
      7.9888800000E+07      7.4954318165E+10     -9.2928363203E+10      1.3803540639E+10      3.3754266223E+04      1.7991637248E+04      2.7319064486E+04
      7.9889100000E+07      7.4944191885E+10     -9.2933760694E+10      1.3795344171E+10      3.3754266223E+04      1.7989143950E+04      2.7319064486E+04
      7.9889400000E+07      7.4934065606E+10     -9.2939156689E+10      1.3787149200E+10      3.3756759521E+04      1.7986650653E+04      2.7319064486E+04
      7.9889700000E+07      7.4923937830E+10     -9.2944552684E+10      1.3778952732E+10      3.3756759521E+04      1.7984157355E+04      2.7321557784E+04
      7.9890000000E+07      7.4913811550E+10     -9.2949947184E+10      1.3770756265E+10      3.3759252819E+04      1.7981664057E+04      2.7321557784E+04
