"1OLORADF",2,1,116,149,6,1;
"1OLORADF",3,1,116,149,6,1;
"1OLORADF",4,1,116,149,6,1;
"1OLORADF",5,1,116,149,6,1;
"1PDEAAT",1,1,126,14,0,8;
"1PDEAAT",2,1,126,14,0,8;
"1PDEAAT",3,1,126,14,0,8;
"1PDEAAT",4,1,126,14,0,8;
"1PDEAAT",5,1,126,14,0,8;
"1PDEAAT",6,1,99,32,0,8;
"1PDEABT",1,1,127,14,0,8;
"1PDEABT",2,1,127,14,0,8;
"1PDEABT",3,1,127,14,0,8;
"1PDEABT",4,1,127,14,0,8;
"1PDEABT",5,1,127,14,0,8;
"1PDEABT",6,1,100,32,0,8;
"1PIN1AT",1,1,0,272,0,8;
"1PIN1AT",2,1,0,272,0,8;
"1PIN1AT",3,1,0,272,0,8;
"1PIN1AT",4,1,0,272,0,8;
"1PIN1AT",5,1,0,272,0,8;
"1PIN1AT",6,1,101,32,0,8;
"1PRDBAON",1,1,21,11,5,1;
"1PRDBAON",2,1,21,11,5,1;
"1PRDBAON",3,1,21,11,5,1;
"1PRDBAON",4,1,21,11,5,1;
"1PRDBAON",5,1,21,11,5,1;
"1PRDBAON",6,1,15,32,5,1;
"1PRDBBON",1,1,25,11,5,1;
"1PRDBBON",2,1,25,11,5,1;
"1PRDBBON",3,1,25,11,5,1;
"1PRDBBON",4,1,25,11,5,1;
"1PRDBBON",5,1,25,11,5,1;
"1PRDBBON",6,1,19,32,5,1;
"1SC1",2,1,0,33,0,72;
"1SC2",2,1,0,161,0,96;
"1SC3",2,1,0,289,0,96;
"1SC4",2,1,0,417,0,96;
"1SC5",2,1,0,545,0,96;
"1SC6",2,1,0,673,0,96;
"1SC7",2,1,0,801,0,96;
"1SC8",2,1,0,929,0,96;
"1SCHEAD1",2,1,0,33,0,24;
"1SCHEAD2",2,1,1,33,0,24;
"1SCHEAD3",2,1,2,33,0,24;
"1SCHEAD4",2,1,3,33,0,24;
"1SCHEAD5",2,1,4,33,0,24;
"1SCHEAD6",2,1,5,33,0,24;
"1SCHEAD7",2,1,6,33,0,24;
"1SCHEAD8",2,1,7,33,0,24;
"1SSMYT",1,1,1,272,0,8;
